,left_sensor,right_sensor,left_sensor,right_sensor,left_sensor,right_sensor,left_sensor,right_sensor,left_sensor,right_sensor,left_sensor,right_sensor
,acc_x,acc_x,acc_y,acc_y,acc_z,acc_z,gyr_x,gyr_x,gyr_y,gyr_y,gyr_z,gyr_z
27,-6.280551382,-6.484364401,-0.420085875,0.397583957,7.183014364,7.142898277,-0.009624191,-0.184864437,-0.021122706,0.177790471,0.130159938,0.008247491
28,-6.292977158,-6.465231396,-0.37224291,0.411972145,7.170748421,7.131365227,0.11114055,-0.060473058,-0.079620052,0.177173184,0.069338205,0.007142933
29,-6.316578425,-6.465190965,-0.408533524,0.395273021,7.18727665,7.138314898,-0.071848428,0.000699117,-0.140476453,0.177148076,0.068155763,-0.054413974
30,-6.300061898,-6.462832358,-0.379525694,0.397708709,7.170738727,7.142989736,0.111607254,0.00173212,-0.199066274,0.117192451,0.068662128,-0.056010827
31,-6.292632603,-6.479704972,-0.410639334,0.40252994,7.185173224,7.16389572,-0.008924134,0.000699117,-0.200292038,0.177148076,0.129145822,-0.054413974
32,-6.292851404,-6.503503994,-0.38904558,0.397473065,7.180292947,7.14281698,0.113224086,-0.000333887,-0.199536512,0.237103701,0.129708757,-0.05281712
33,-6.304635313,-6.481971124,-0.39396921,0.399974881,7.166107292,7.140584456,0.050533144,-0.061496573,-0.199444037,0.17745672,0.06838066,-0.053861695
34,-6.297698139,-6.48205699,-0.381904582,0.385816954,7.177836528,7.170835228,0.111373902,0.000689629,-0.139343163,0.236820165,0.069000167,0.008187507
35,-6.299772584,-6.510717668,-0.396300646,0.39272212,7.159117379,7.15442312,-0.009157486,0.003788639,-0.140568928,0.05695329,0.129483861,0.003396947
36,-6.290151806,-6.501280758,-0.410594962,0.40959606,7.173437274,7.166150523,0.050533144,0.003798127,-0.199444037,-0.002718799,0.06838066,-0.059204534
37,-6.309621618,-6.486969806,-0.379641587,0.416870102,7.170647248,7.168557758,0.053766808,-0.060444593,-0.200384513,-0.001843083,0.190473919,-0.180661509
38,-6.287931975,-6.477232453,-0.396174259,0.400062289,7.173342311,7.149922993,0.050533144,0.003798127,-0.199444037,-0.002718799,0.06838066,-0.059204534
